,MPr1,MPr2,MPr3,MPr4,MPr5,MPr6,MIn1,MIn2,MIn3,MIn4,MIn5,MIn6
DG(18:1/22:4),-16.60964047,1.847628859,1.912334375,-0.56931821,-16.60964047,0.274413868,-0.303208289,-0.54896326,-16.60964047,-16.60964047,-16.60964047,-0.342586889
DG(18:1/22:5),-0.096256295,0.54935898,0.98836723,1.303658727,0.276820784,1.273346518,0.803565481,0.29026851,-16.60964047,0.400826032,2.680316122,1.823859589
DG(18:1/22:6),0.512282691,2.010770598,2.062718957,2.454854864,0.82887434,2.438275944,2.434805359,2.86595427,0.81271636,3.142181299,3.014239021,4.020534079
DG(18:2/18:2),-1.289965471,1.034851511,0.098877739,1.395372783,-2.248687386,-0.693877785,-1.86644548,1.482913834,-16.60964047,-1.49063978,0.712995457,-16.60964047
DG(18:2/18:3),-16.60964047,-16.60964047,-0.577817501,-1.59134417,-16.60964047,-0.86062359,-0.677258085,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-1.35174637
DG(18:2/20:0),-1.940629304,-0.057608512,0.133865378,0.334333227,-0.334601111,-0.915518291,4.035267909,0.22797951,0.015062222,-0.044463551,1.333229818,-0.688051094
DG(18:2/20:1),-16.60964047,-16.60964047,-0.914382865,-2.007146854,-1.089851416,-1.186518884,-0.178047831,-1.095475541,-16.60964047,0.391449553,0.235129783,-1.96270327
DG(18:2/20:2),-1.213923815,-16.60964047,-0.098786142,1.077134955,-16.60964047,1.011549333,0.833734967,0.880259807,-16.60964047,-2.277144455,2.279120712,0.432363752
DG(18:2/20:3),-16.60964047,0.839111245,-16.60964047,-16.60964047,0.037922749,-16.60964047,0.933748208,-16.60964047,-16.60964047,0.463875764,1.270341227,0.91086116
DG(18:2/20:4),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,2.693838867,-16.60964047
DG(18:2/20:5),0.699606512,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-0.557533432,-16.60964047,-16.60964047,-16.60964047,-1.013172819,1.066589639
DG(18:2/22:0),-1.534906276,-0.256563478,0.039004246,0.486628786,-0.596813293,-0.49915534,-1.673951327,-1.01417759,-0.951298485,-0.574496369,-1.844511901,0.044165953
DG(18:2/22:1),-16.60964047,-16.60964047,-0.766481003,-0.613406365,-16.60964047,0.044748028,-16.60964047,-16.60964047,-16.60964047,0.07579783,-0.7865744,-16.60964047
DG(18:2/22:2),-1.868745038,-0.91284056,-0.897680306,-2.081820435,-16.60964047,-1.736625538,-1.928401557,-1.591489607,-16.60964047,-2.881521929,-16.60964047,-2.768424676
DG(18:2/22:4),3.633826123,-0.581966587,-16.60964047,-16.60964047,1.106771897,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-2.055239268,0.908864062,-16.60964047
DG(18:2/22:5),-2.026715657,-1.123890704,0.531400947,-1.301156734,-0.104416271,-1.384811878,-0.982596715,-1.113651185,-16.60964047,-0.226262172,0.984056657,-0.805625227
DG(18:2/22:6),-1.307261685,0.396717098,0.195781018,-0.253367932,-0.501076133,0.565910105,0.215752051,0.17538727,-16.60964047,0.362241926,1.519060795,0.520623426
DG(18:3/18:3),-0.67868788,-16.60964047,-16.60964047,-1.596374713,-0.499424083,0.206468795,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-1.622517012,-0.962790403
DG(18:3/20:0),-2.257926225,-1.256569915,1.797778602,-1.113199653,-0.372596024,-0.450349075,3.005395883,0.275812292,0.405176404,0.107259461,0.902340176,-0.614195643
DG(18:3/20:1),-1.728202685,0.937261495,-0.31107102,-16.60964047,-0.675384333,-0.487534414,-0.636408207,1.440034546,-16.60964047,0.559310414,0.721862099,0.324097374
DG(18:3/20:2),-16.60964047,-16.60964047,-16.60964047,1.207696837,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(18:3/20:3),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-1.122645037,1.177157915,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(18:3/20:4),-16.60964047,0.047119033,1.481385763,0.410739619,-16.60964047,0.342175464,-0.706636904,-16.60964047,-16.60964047,-2.377574373,-16.60964047,-16.60964047
DG(18:3/20:5),-16.60964047,-16.60964047,1.656049392,-16.60964047,-16.60964047,0.573143133,-16.60964047,0.548414988,-16.60964047,-16.60964047,0.642121465,0.258896358
DG(18:3/22:0),-16.60964047,1.010214077,0.737706182,-0.903600702,-16.60964047,-0.801014644,-16.60964047,0.614907222,-16.60964047,0.076522981,-16.60964047,-0.628287588
